Ticker,Type,Strike,Expiry_Years,Underlying_Price,Bid,Ask,Risk_Free_Rate,Dividend_Yield,Implied_Volatility
,Call,500.0,0.09582477754962354,717.0499877929688,217.05,220.49,0.03700000047683716,0.0044,0.49114928317869
,Call,575.0,0.09582477754962354,717.0499877929688,142.7,146.02,0.03700000047683716,0.0044,0.3586830854210432
,Call,580.0,0.09582477754962354,717.0499877929688,137.79,141.47,0.03700000047683716,0.0044,0.36782156458735693
,Call,610.0,0.09582477754962354,717.0499877929688,108.55,112.15,0.03700000047683716,0.0044,0.3266325324520204
,Call,615.0,0.09582477754962354,717.0499877929688,103.67,107.3,0.03700000047683716,0.0044,0.31862286383340566
,Call,620.0,0.09582477754962354,717.0499877929688,98.76,101.26,0.03700000047683716,0.0044,0.28255737221135624
,Call,625.0,0.09582477754962354,717.0499877929688,94.01,96.49,0.03700000047683716,0.0044,0.280497026759459
,Call,630.0,0.09582477754962354,717.0499877929688,89.16,91.8,0.03700000047683716,0.0044,0.27645393491673276
,Call,640.0,0.09582477754962354,717.0499877929688,81.29,82.2,0.03700000047683716,0.0044,0.28936439992570906
,Call,650.0,0.09582477754962354,717.0499877929688,71.94,72.83,0.03700000047683716,0.0044,0.27541100206455627
,Call,655.0,0.09582477754962354,717.0499877929688,65.72,68.18,0.03700000047683716,0.0044,0.24940454455831385
,Call,660.0,0.09582477754962354,717.0499877929688,61.24,63.63,0.03700000047683716,0.0044,0.24535679267825833
,Call,668.0,0.09582477754962354,717.0499877929688,54.04,56.47,0.03700000047683716,0.0044,0.23680517397507644
,Call,670.0,0.09582477754962354,717.0499877929688,52.28,54.73,0.03700000047683716,0.0044,0.23498421380962986
,Call,672.0,0.09582477754962354,717.0499877929688,50.54,53.27,0.03700000047683716,0.0044,0.23563721431004087
,Call,680.0,0.09582477754962354,717.0499877929688,45.32,45.82,0.03700000047683716,0.0044,0.2353149491618461
,Call,682.0,0.09582477754962354,717.0499877929688,43.7,44.46,0.03700000047683716,0.0044,0.235765450283491
,Call,685.0,0.09582477754962354,717.0499877929688,41.16,41.75,0.03700000047683716,0.0044,0.23002157662311656
,Call,690.0,0.09582477754962354,717.0499877929688,37.17,37.91,0.03700000047683716,0.0044,0.2258934855109258
,Call,691.0,0.09582477754962354,717.0499877929688,36.41,36.96,0.03700000047683716,0.0044,0.22386542722714298
,Call,692.0,0.09582477754962354,717.0499877929688,35.7,36.41,0.03700000047683716,0.0044,0.22481881560480715
,Call,693.0,0.09582477754962354,717.0499877929688,34.95,35.64,0.03700000047683716,0.0044,0.22392452839228222
,Call,697.0,0.09582477754962354,717.0499877929688,31.89,32.57,0.03700000047683716,0.0044,0.21927569211578174
,Call,698.0,0.09582477754962354,717.0499877929688,31.11,31.82,0.03700000047683716,0.0044,0.21794804070208285
,Call,700.0,0.09582477754962354,717.0499877929688,29.83,29.98,0.03700000047683716,0.0044,0.2147024470086913
,Call,702.0,0.09582477754962354,717.0499877929688,28.37,28.52,0.03700000047683716,0.0044,0.21240553043659394
,Call,703.0,0.09582477754962354,717.0499877929688,27.68,27.83,0.03700000047683716,0.0044,0.21162439634906471
,Call,704.0,0.09582477754962354,717.0499877929688,26.98,27.13,0.03700000047683716,0.0044,0.2106361415797538
,Call,705.0,0.09582477754962354,717.0499877929688,26.29,26.43,0.03700000047683716,0.0044,0.20962351260118417
,Call,706.0,0.09582477754962354,717.0499877929688,25.61,25.75,0.03700000047683716,0.0044,0.20870440021175035
,Call,707.0,0.09582477754962354,717.0499877929688,24.95,25.1,0.03700000047683716,0.0044,0.20799358844537919
,Call,709.0,0.09582477754962354,717.0499877929688,23.61,23.75,0.03700000047683716,0.0044,0.20589163207446565
,Call,710.0,0.09582477754962354,717.0499877929688,22.98,23.12,0.03700000047683716,0.0044,0.20520229066966933
,Call,711.0,0.09582477754962354,717.0499877929688,22.31,22.45,0.03700000047683716,0.0044,0.20395718106098776
